Date,Day,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
1/5/2015,289,2776,,10030,,,,,,1786,,2977,,,,,
1/4/2015,288,2775,,9780,,,,,,1781,,2943,,,,,
1/3/2015,287,2769,8166,9722,,,,,,1767,3496,2915,,,,,
1/2/2015,286,,8157,,,,,,,,3496,,,,,,
12/31/2014,284,2730,8115,9633,,,,,,1739,3471,2827,,,,,
12/28/2014,281,2706,8018,9446,,,,,,1708,3423,2758,,,,,
12/27/2014,280,2695,,9409,,,,,,1697,,2732,,,,,
12/24/2014,277,2630,7977,9203,,,,,,,3413,2655,,,,,
12/21/2014,273,2597,,9004,,,,,,1607,,2582,,,,,
12/20/2014,272,2571,7862,8939,,,,,,1586,3384,2556,,,,,
12/18/2014,271,,7830,,,,,,,,3376,,,,,,
12/14/2014,267,2416,,8356,,,,,,1525,,2085,,,,,
12/9/2014,262,,7797,,,,,,,,3290,,,,,,
12/7/2014,260,2292,,7897,20,1,4,1,7,1428,,1768,8,0,1,0,6
12/3/2014,256,,7719,,,,,,,,3177,,,,,,
11/30/2014,253,2164,,7312,20,1,4,1,7,1327,,1583,8,0,1,0,6
11/28/2014,251,,7635,,,,,,,,3145,,,,,,
11/23/2014,246,2134,,6599,20,1,4,1,7,1260,,1398,8,0,1,0,6
11/22/2014,245,,7168,,,,,,,,3016,,,,,,
11/18/2014,241,2047,7082,6190,20,1,4,1,6,1214,2963,1267,8,0,1,0,6
11/16/2014,239,1971,,6073,20,1,4,1,5,1192,,1250,8,0,1,0,5
11/15/2014,238,,7069,,,,,,,,2964,,,,,,
11/11/2014,234,1919,,5586,20,1,4,1,4,1166,,1187,8,0,1,0,3
11/10/2014,233,,6878,,,,,,,,2812,,,,,,
11/9/2014,232,1878,,5368,20,1,4,1,1,1142,,1169,8,0,1,0,1
11/8/2014,231,,6822,,,,,,,,2836,,,,,,
11/4/2014,227,,6619,4862,20,1,4,1,1,,2766,1130,8,0,1,0,1
11/3/2014,226,1760,,,,,,,,1054,,,,,,,
11/2/2014,225,1731,,4759,20,1,4,1,1,1041,,1070,8,0,1,0,1
10/31/2014,222,,6525,,,,,,,,2697,,,,,,
10/29/2014,220,1667,,5338,20,1,4,1,1,1018,,1510,8,0,1,0,1
10/27/2014,218,1906,,5235,20,1,4,1,1,997,,1500,8,0,1,0,1
10/25/2014,216,,6535,,,,,,,,2413,,,,,,
10/22/2014,214,,,3896,,,4,1,1,,,1281,,,1,0,1
10/21/2014,213,1553,,,,,,,,926,,,,,,,
10/19/2014,211,1540,,3706,20,1,3,1,,904,,1259,8,0,1,0,
10/18/2014,210,,4665,,,,,,,,2705,,,,,,
10/14/2014,206,1519,,3410,20,1,3,1,,862,,1200,8,0,0,1,
10/13/2014,205,,4262,,,,,,,,2484,,,,,,
10/12/2014,204,1472,,3252,20,1,2,1,,843,,1183,8,0,1,1,
10/11/2014,203,,4249,,,,,,,,2458,,,,,,
10/8/2014,200,,,2950,20,1,1,1,,,,930,8,0,1,1,
10/7/2014,199,1350,4076,,,,,,,778,2316,,,,,,
10/5/2014,197,1298,,2789,20,1,1,,,768,,879,8,0,0,,
10/4/2014,196,,3924,,,,,,,,2210,,,,,,
10/1/2014,193,1199,3834,2437,20,1,1,,,739,2069,623,8,0,0,,
9/28/2014,190,1157,3696,2304,20,1,,,,710,1998,622,8,0,,,
9/23/2014,185,1074,3458,2021,20,1,,,,648,1830,605,8,0,,,
9/21/2014,183,1022,3280,1940,20,1,,,,635,1677,597,8,0,,,
9/20/2014,182,,,1813,,,,,,,,593,,,,,
9/19/2014,181,1008,,,,,,,,632,,,,,,,
9/17/2014,179,,3022,,,,,,,,1578,,,,,,
9/14/2014,176,942,2710,1673,,,,,,601,1459,562,,,,,
9/13/2014,175,936,,1620,21,1,,,,595,1296,562,8,0,,,
9/10/2014,172,899,,1478,21,1,,,,568,,536,8,,,,
9/9/2014,171,,2407,,,,,,,,,,,,,,
9/7/2014,169,861,2081,1424,21,3,,,,557,1137,524,8,0,,,
9/5/2014,167,812,1871,1261,22,1,,,,517,1089,491,8,,,,
8/31/2014,162,771,1698,1216,21,1,,,,494,871,476,7,,,,
8/26/2014,157,648,1378,1026,17,,,,,430,694,422,6,,,,
8/20/2014,151,607,1082,910,16,,,,,406,624,392,5,,,,
8/18/2014,149,579,972,907,15,,,,,396,576,374,4,,,,
8/16/2014,147,543,834,848,15,,,,,394,466,365,4,,,,
8/13/2014,144,519,786,810,12,,,,,380,413,348,4,,,,
8/11/2014,142,510,670,783,12,,,,,377,355,334,3,,,,
8/9/2014,140,506,599,730,13,,,,,373,323,315,2,,,,
8/6/2014,137,495,554,717,13,,,,,367,294,298,2,,,,
8/4/2014,135,495,516,691,9,,,,,363,282,286,1,,,,
8/1/2014,132,485,468,646,4,,,,,358,255,273,1,,,,
7/30/2014,129,472,391,574,3,,,,,346,227,252,1,,,,
7/27/2014,126,460,329,533,1,,,,,339,156,233,1,,,,
7/23/2014,123,427,249,525,0,,,,,319,129,224,0,,,,
7/20/2014,120,415,224,454,,,,,,314,127,219,,,,,
7/17/2014,117,410,196,442,,,,,,310,116,206,,,,,
7/14/2014,114,411,174,397,,,,,,310,106,197,,,,,
7/12/2014,112,406,172,386,,,,,,304,105,194,,,,,
7/8/2014,108,409,142,337,,,,,,309,88,142,,,,,
7/6/2014,106,408,131,305,,,,,,307,84,127,,,,,
7/2/2014,102,412,115,252,,,,,,305,75,101,,,,,
6/30/2014,100,413,107,239,,,,,,303,65,99,,,,,
6/22/2014,92,,51,,,,,,,,34,,,,,,
6/20/2014,90,390,,158,,,,,,270,,34,,,,,
6/19/2014,89,,41,,,,,,,,25,,,,,,
6/18/2014,88,390,,136,,,,,,267,,28,,,,,
6/17/2014,87,,,97,,,,,,,,49,,,,,
6/16/2014,86,398,33,,,,,,,264,24,,,,,,
6/10/2014,80,351,13,89,,,,,,226,24,7,,,,,
6/5/2014,75,,13,81,,,,,,,,6,,,,,
6/3/2014,73,344,13,,,,,,,215,12,6,,,,,
6/1/2014,71,328,13,79,,,,,,208,12,6,,,,,
5/28/2014,67,291,13,50,,,,,,193,12,6,,,,,
5/27/2014,66,281,12,16,,,,,,186,11,5,,,,,
5/23/2014,62,258,12,0,,,,,,174,11,0,,,,,
5/12/2014,51,248,12,0,,,,,,171,11,0,,,,,
5/10/2014,49,233,12,0,,,,,,157,11,0,,,,,
5/7/2014,46,236,13,0,,,,,,158,11,0,,,,,
5/5/2014,44,235,13,0,,,,,,157,11,0,,,,,
5/3/2014,42,231,13,0,,,,,,155,11,0,,,,,
5/1/2014,40,226,13,0,,,,,,149,11,0,,,,,
4/26/2014,35,224,,0,,,,,,143,,0,,,,,
4/24/2014,33,,35,0,,,,,,,,0,,,,,
4/23/2014,32,218,,0,,,,,,141,,0,,,,,
4/22/2014,31,,,0,,,,,,,,0,,,,,
4/21/2014,30,,34,,,,,,,,11,,,,,,
4/20/2014,29,208,,,,,,,,136,6,,,,,,
4/17/2014,26,203,27,,,,,,,129,,,,,,,
4/16/2014,25,197,27,,,,,,,122,13,,,,,,
4/15/2014,24,,,12,,,,,,,,,,,,,
4/14/2014,23,168,,,,,,,,108,,,,,,,
4/11/2014,20,159,26,2,,,,,,106,13,2,,,,,
4/9/2014,18,158,25,2,,,,,,101,12,2,,,,,
4/7/2014,16,151,21,2,,,,,,95,10,2,,,,,
4/4/2014,13,143,18,2,,,,,,86,7,2,,,,,
4/1/2014,10,127,8,2,,,,,,83,5,2,,,,,
3/31/2014,9,122,8,2,,,,,,80,4,2,,,,,
3/29/2014,7,112,7,,,,,,,70,2,,,,,,
3/28/2014,6,112,3,2,,,,,,70,3,2,,,,,
3/27/2014,5,103,8,6,,,,,,66,6,5,,,,,
3/26/2014,4,86,,,,,,,,62,,,,,,,
3/25/2014,3,86,,,,,,,,60,,,,,,,
3/24/2014,2,86,,,,,,,,59,,,,,,,
3/22/2014,0,49,,,,,,,,29,,,,,,,
